,2010/1/1,2010/6/30,2010/12/27,2011/6/25,2011/12/22,2012/6/19,2012/12/16,2013/6/14,2013/12/11,2014/6/9,2014/12/6,2015/6/4,2015/12/1,2016/5/29,2016/11/25,2017/5/24,2017/11/20,2018/5/19,2018/11/15,2019/5/14,2019/11/10,2020/5/8,2020/11/4,2021/5/3,2021/10/30,
ありあけのハーバー,356,457,458,541,701,653,786,902,1150,1030,1140,1310,1470,1710,2420,2730,2750,4370,5170,5140,6620,6600,8420,8810,10400,
ういろう,7260,9390,9810,11400,13300,15400,15700,18800,18300,24300,27100,30300,33200,34800,46100,52200,54700,63100,74200,89400,87400,98600,280000,1060000,1640000,
江ノ電もなか,113,128,139,273,188,252,207,262,254,367,456,469,608,815,841,1010,1140,1300,1300,1380,1700,1860,1680,1910,1980,
鎌倉カスター,368,380,398,421,440,502,596,576,745,715,910,840,898,977,1130,1360,1410,1690,1830,1970,2350,2390,2640,3360,3620,
生たまご生プリン,24700,27700,36000,41400,48100,57500,64800,70600,77800,85200,99800,111000,149000,148000,164000,219000,248000,318000,340000,355000,2940000,4280000,6260000,6460000,7650000,
鳩サブレー,1240,1380,1560,1710,1870,2110,2290,2650,2740,3110,3510,3890,4420,5150,6440,6730,7290,9470,10500,11100,12900,14200,16000,17900,21000,
磯部せんべい,586,1170,1150,1100,1250,1930,2030,2380,2420,2580,3570,4810,6000,6410,8020,12400,14700,18200,17800,18100,20800,20100,22300,24200,26100,
片原饅頭,4270,4790,5630,6450,7580,8590,9580,11400,12500,14200,16300,19000,21300,25300,28600,33800,39400,49700,54800,65900,80800,82600,89200,105000,123000,
七福神あられ,169,278,335,402,312,447,444,449,518,832,902,960,1370,985,1220,1410,2050,2240,2690,3220,3750,3930,4450,4820,5960,
スバル最中,34800,39300,44800,49900,56000,65600,74500,79700,92300,102000,111000,127000,142000,167000,192000,712000,2210000,3380000,3850000,3840000,4590000,5510000,6070000,7100000,7690000,
旅がらす,10900,11200,13700,15400,16800,18200,19800,21800,31600,30900,35200,39900,47000,47000,59400,56600,71000,69900,88000,88400,112000,140000,126000,140000,2400000,
花パン,1030000,2590000,3610000,4520000,4230000,5270000,6590000,7250000,8150000,8380000,10500000,11600000,13900000,14400000,14900000,18700000,20400000,23100000,24900000,27800000,30600000,36600000,40700000,44100000,50600000,
三桝家+%28菓子舗%29,0,0,0,0,0,0,0,0,21,21,19,18,20,22,39,86,43,64,100,106,56,98,164,75,85,
焼きまんじゅう,15900,17800,21600,23100,25500,32100,34400,38000,42800,47300,59200,59800,72600,75500,89200,110000,1050000,1450000,1720000,1780000,2250000,2410000,2370000,3070000,3270000,
